	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	0	4.083517193809172e-05	2.216742614617875	[ 0.25420064]	[ 3.76436778]	0	0.009636159325855822	0.42832728203429116
1	1	0	4.2069035768532714e-05	2.3049608237949886	[ 0.26231591]	[ 1.17202617]	0	-0.00980939819621931	-0.43602774982194825
2	1	0	4.168308377261454e-05	2.284865469642522	[ 0.39515779]	[ 3.39226844]	0	0.009772886204091016	0.43440479177184554
3	1	0	4.3001568317491135e-05	2.3892924017638033	[ 0.24910997]	[ 1.87071217]	0	-0.009984697014916664	-0.4438197823130456
4	1	0	4.305367469781274e-05	2.3077119635456733	[ 0.44295256]	[ 3.07916407]	0	0.009996848714645675	0.44435992536600016
5	1	0	4.180091321459578e-05	2.27314171887079	[ 0.32984139]	[ 3.82615753]	0	0.0099797021089352	0.4435977587421695
6	1	0	4.1546875238385184e-05	2.3396057733220474	[ 0.3204223]	[ 2.07472294]	0	0.00992852973635562	0.4413231467810072
7	1	0	4.303620457624113e-05	2.311172254175286	[ 0.30030252]	[ 3.14581505]	0	0.00981463144181489	0.4362603675886717
8	1	0	4.099197983764569e-05	2.3271877995620884	[ 0.38318757]	[ 3.09029214]	0	-0.0099375808046578	-0.4417254667670391
9	1	0	4.008486270956624e-05	2.2672295918198766	[ 0.42738142]	[ 3.00595975]	0	0.00971504086240993	0.43183356633412123
10	1	0	4.035049676875957e-05	2.233901657639163	[ 0.31239201]	[ 3.71868854]	0	0.009788628826020112	0.43510455131659387
11	1	0	4.081347882745057e-05	2.3390029845392055	[ 0.4505735]	[ 1.97108892]	0	-0.00998045497040321	-0.4436312234344226
12	1	0	4.263962507211616e-05	2.3641322839031895	[ 0.28326512]	[ 2.30300243]	0	-0.00984317344840303	-0.4375290597815146
13	1	0	4.203492999077518e-05	2.248649657373518	[ 0.23000115]	[ 1.95338741]	0	-0.00953743706370707	-0.42393907748177917
14	1	0	4.2530065774704084e-05	2.206125730322412	[ 0.34104825]	[ 3.5054937]	0	0.009658925976113642	0.42933925963825126
15	1	0	3.8943904638433224e-05	2.247062374685879	[ 0.30311637]	[ 1.1606173]	0	-0.00987902940707303	-0.4391228571443961
16	1	0	4.20559495679651e-05	2.3350173482015526	[ 0.64326398]	[ 2.47944372]	0	-0.009986532734118382	-0.44390138003156193
17	1	2	4.515078663613892e-06	2.150272455855799	[ 0.3829495]	[ 1.67543775]	2	0.009994690021172375	0.1881750263736229
18	1	0	4.0862795710472355e-05	2.2512795856842405	[ 0.28124531]	[ 3.36412051]	0	-0.009978268355135288	-0.44353402838576345
19	1	0	4.171086251725242e-05	2.2706374498196005	[ 0.40791797]	[ 1.30026284]	0	-0.009669185820093714	-0.4297953097031655
20	1	0	3.923342227896143e-05	2.3048050941159732	[ 0.25367073]	[ 1.48505241]	0	0.00998380759824141	0.44378024774183056
21	1	0	3.885300159400806e-05	2.2370175060978497	[ 0.43858582]	[ 2.54080529]	0	-0.009650821830532928	-0.42897903036718854
22	1	2	4.794478416725312e-06	2.189690548870827	[ 0.31697777]	[ 2.07239423]	2	0.009880706296112391	0.18602899779005605
23	1	0	4.15548741816707e-05	2.305770762653274	[ 0.34978816]	[ 2.83712923]	0	0.0098877043135	0.4395084567350748
24	1	0	3.760633766658472e-05	2.1172826220152383	[ 0.8310724]	[ 4.99610142]	0	0.009950940806174735	0.44231931883446685
25	1	0	4.2541247606164845e-05	2.2882734148978883	[ 0.27270574]	[ 2.65799667]	0	-0.009901980988051918	-0.4401430549189076
26	1	0	3.671354353418366e-05	2.089210479640066	[ 0.34291806]	[ 2.5737638]	0	0.009216480002825796	0.4096725361256065
27	1	0	4.08680856225363e-05	2.294212796794771	[ 0.47488776]	[ 3.50652409]	0	0.009922927885587239	0.4410741445143527
28	1	0	4.1312295198547844e-05	2.2823082058359594	[ 0.26586151]	[ 2.58604289]	0	-0.009803466000115984	-0.43576406370515536
29	1	0	3.9328044653119676e-05	2.178127538576113	[ 0.24253365]	[ 2.5178139]	0	-0.00934427126545443	-0.41535285774944936
30	1	0	4.0300139784621436e-05	2.2770640144247105	[ 0.26500443]	[ 1.69508175]	0	-0.009683453677574323	-0.4304295159681785
