	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	22	0.0001614932578801742	2.4907885117316653	[ 0.25113264]	[ 0.4859946]	22	0.009882568524668962	0.09468884206226318
1	1	22	0.00015965047419086442	2.5006746758762377	[ 0.46140243]	[ 0.66549371]	22	0.009745292124259378	0.09337354195937879
2	1	22	0.00015240903019908547	2.4314544364392376	[ 0.32522928]	[ 0.88009061]	22	-0.009828482569696869	-0.09417062289329357
3	1	22	0.00016403941363096752	2.5119670870194297	[ 0.38347162]	[ 0.6176329]	22	0.009988599256468132	0.09570476491592375
4	1	22	0.00014426603049055853	2.2658293838896624	[ 0.49239636]	[ 0.69305634]	22	-0.009206925410970838	-0.08821523513267598
5	1	22	0.0001591755580903076	2.5516959269155177	[ 0.34169679]	[ 0.82291313]	22	0.009987342191706888	0.09569272047562036
6	1	38	0.00011376169741139641	2.290249202339875	[ 0.33615481]	[ 0.59135078]	38	0.009377373770995248	0.060634098803255286
7	1	22	0.00015647592246537112	2.4137204225744475	[ 0.33639482]	[ 0.71860052]	22	-0.009405746441719851	-0.09012021895669457
8	1	22	0.0001596383503079668	2.438299568417033	[ 0.58478108]	[ 0.84528377]	22	0.009879485576854353	0.09465930310607228
9	1	22	0.00015562405943903013	2.3355903924705363	[ 0.58908978]	[ 0.978713]	22	-0.009698126678744076	-0.09292163095971848
10	1	22	0.00015854960948258334	2.4220945176765705	[ 0.53453004]	[ 1.04496965]	22	-0.009952002276416311	-0.09535411461125523
11	1	38	0.00011550230473278411	2.313714850215337	[ 0.52260925]	[ 0.92097229]	38	0.009894200157688363	0.06397589821961297
12	1	22	0.00015619617819773168	2.4133504259610574	[ 0.38739313]	[ 0.57871537]	22	0.009859518352304007	0.0944679891407656
13	1	22	0.00016039947539525645	2.4373553768631484	[ 0.29988146]	[ 0.60128377]	22	-0.009790416529181714	-0.09380589693270165
14	1	38	0.00011297890424732948	2.3065151680098697	[ 0.95566242]	[ 0.84385148]	38	0.009980840707820387	0.06453611601676663
15	1	22	0.0001585458195207945	2.4084248983228793	[ 0.47215643]	[ 0.63019466]	22	0.009733710585139877	0.09326257460045921
16	1	38	0.00011542667388908523	2.350706668829734	[ 0.3351707]	[ 0.54489047]	38	0.009879660248416236	0.0638818831662594
17	1	22	0.00014124004781246313	2.281230578770887	[ 0.5930588]	[ 0.83379005]	22	0.009451908594949928	0.09056251701165323
18	1	22	0.0001519847241046035	2.336136353160855	[ 0.59366483]	[ 1.08613456]	22	0.009874776183610708	0.09461418052564763
19	1	38	0.00011794005692034037	2.364919792765096	[ 0.60347974]	[ 0.92412909]	38	0.00998559512047327	0.06456685804898017
20	1	22	0.00015678175091715651	2.407643790063716	[ 0.43863089]	[ 0.56699075]	22	0.009964456277876095	0.095473441380842
21	1	22	0.0001597611230613749	2.423037525860794	[ 0.519461]	[ 0.98286147]	22	0.00996155654213358	0.09544565785279867
