	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
45	1	True	1	[ 0.01280013]	[ 0.00011586]	6.8752603370379495	[ 0.03080927]	[ 0.9773287]	1	-0.009999521213338178	-0.19993542690009014	[[ 0.19985536  0.48211689  0.11428649  0.22118908  0.51401832  0.07739815]]
46	1	True	2	[ 0.01439762]	[ 0.00024374]	5.623677707351078	[ 0.03362695]	[ 0.71765414]	2	-0.009999900168521878	-0.24999750421304695	[[ 1.02310492  0.9406664   1.49162453  1.00823553  0.97481186  1.51646049]]
47	1	True	2	[ 0.01489965]	[ 0.0002528]	5.835148360688227	[ 0.03181546]	[ 0.87786672]	2	-0.009999907834087001	-0.24999769585217504	[[ 0.84676693  0.34839897  1.51085789  0.83033866  0.39703252  1.5401272 ]]
48	1	True	1	[ 0.01312863]	[ 0.00012008]	6.995581571656414	[ 0.01683039]	[ 0.59229093]	1	-0.009999992028951903	-0.19994484062287876	[[ 0.81927127  0.24092444  0.78602268  0.81937022  0.28054171  0.7610675 ]]
49	1	True	2	[ 0.01523624]	[ 0.00025867]	5.96002942499317	[ 0.03705338]	[ 0.8708589]	2	-0.009999618297977658	-0.24999045744944146	[[ 0.44273218  0.63660863  1.3808411   0.40996757  0.60591826  1.40250855]]
50	1	True	2	[ 0.01488447]	[ 0.00025356]	5.752829872904977	[ 0.01650065]	[ 0.3744762]	2	0.009999626848472408	0.2499906712118102	[[ 0.38408406  0.34852713  1.96712546  0.3854668   0.39149049  1.99643093]]
51	1	True	2	[ 0.01391596]	[ 0.00023221]	5.5104450762959	[ 0.03334444]	[ 0.64001226]	2	0.009999988870903738	0.24999972177259344	[[ 0.10163521  0.27598135  1.11632984  0.09790021  0.31673385  1.13621461]]
52	1	True	2	[ 0.0140936]	[ 0.00023682]	5.542513958748311	[ 0.02116493]	[ 0.61256476]	2	-0.00999979413606684	-0.249994853401671	[[ 0.56535724  0.72109716  1.30268053  0.54420222  0.75735992  1.32059823]]
53	1	True	2	[ 0.01361887]	[ 0.00022485]	5.44739007838373	[ 0.04019318]	[ 1.20598941]	2	-0.009998712109974633	-0.24996780274936584	[[ 0.26803252  0.26435381  0.72294759  0.26033829  0.21985478  0.74822675]]
54	1	True	1	[ 0.01333217]	[ 0.00011931]	6.939783770548182	[ 0.02893565]	[ 0.61539168]	1	-0.009999899219464375	-0.1999429849435804	[[ 0.53490379  0.60366998  0.45457857  0.51387047  0.58320743  0.43358624]]
55	1	True	2	[ 0.01457778]	[ 0.00024596]	5.668800804811797	[ 0.04784915]	[ 1.08441023]	2	-0.009999976630919952	-0.2499994157729988	[[ 0.67991161  0.04929894  1.87559255  0.66538814  0.09498235  1.8957813 ]]
