	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	17	0.0	0.0	[ 0.23568704]	[ 3.43041169]	17	0.0	0.0
1	1	8	0.0	0.0	[ 0.27819495]	[ 1.48976754]	8	0.0	0.0
2	1	6	0.0	0.0	[ 0.37920989]	[ 3.06096317]	6	0.0	0.0
3	1	20	0.0	0.0	[ 0.25956641]	[ 2.2194146]	20	0.0	0.0
4	1	17	0.0	0.0	[ 0.45323115]	[ 2.73165964]	17	0.0	0.0
5	1	14	0.0	0.0	[ 0.30778721]	[ 3.48789781]	14	0.0	0.0
6	1	0	0.0	0.0	[ 0.3175461]	[ 1.73639915]	0	0.0	0.0
7	1	10	0.0	0.0	[ 0.30057925]	[ 2.81080108]	10	0.0	0.0
8	1	7	0.0	0.0	[ 0.37060745]	[ 3.41702512]	7	0.0	0.0
9	1	17	0.0	0.0	[ 0.40323531]	[ 2.66984909]	17	0.0	0.0
10	1	1	0.0	0.0	[ 0.30075606]	[ 3.38717324]	1	0.0	0.0
11	1	16	0.0	0.0	[ 0.46370469]	[ 2.30231804]	16	0.0	0.0
12	1	2	0.0	0.0	[ 0.29318798]	[ 2.62489577]	2	0.0	0.0
13	1	20	0.0	0.0	[ 0.22962688]	[ 2.27184868]	20	0.0	0.0
14	1	10	0.0	0.0	[ 0.31555236]	[ 3.17110734]	10	0.0	0.0
15	1	12	0.0	0.0	[ 0.31614186]	[ 1.44615683]	12	0.0	0.0
16	1	13	0.0	0.0	[ 0.63236165]	[ 2.80538813]	13	0.0	0.0
17	1	2	0.0	0.0	[ 0.37985474]	[ 1.58409523]	2	0.0	0.0
18	1	10	0.0	0.0	[ 0.27511921]	[ 3.69701977]	10	0.0	0.0
19	1	2	0.0	0.0	[ 0.39488815]	[ 1.61889486]	2	0.0	0.0
20	1	5	0.0	0.0	[ 0.2529139]	[ 1.16921181]	5	0.0	0.0
21	1	21	0.0	0.0	[ 0.44746036]	[ 2.86043452]	21	0.0	0.0
22	1	22	0.0	0.0	[ 0.31411005]	[ 1.98120815]	22	0.0	0.0
23	1	0	0.0	0.0	[ 0.34214524]	[ 2.49533444]	0	0.0	0.0
24	1	14	0.0	0.0	[ 0.82612357]	[ 4.65928442]	14	0.0	0.0
25	1	19	0.0	0.0	[ 0.29521406]	[ 2.98585922]	19	0.0	0.0
26	1	6	0.0	0.0	[ 0.32787081]	[ 2.25677881]	6	0.0	0.0
27	1	12	0.0	0.0	[ 0.48835473]	[ 3.16935904]	12	0.0	0.0
28	1	3	0.0	0.0	[ 0.28677281]	[ 2.91668657]	3	0.0	0.0
29	1	7	0.0	0.0	[ 0.24189212]	[ 2.82984193]	7	0.0	0.0
30	1	5	0.0	0.0	[ 0.27311171]	[ 2.01040479]	5	0.0	0.0
31	1	5	0.0	0.0	[ 0.18938904]	[ 2.68319864]	5	0.0	0.0
32	1	21	0.0	0.0	[ 0.42299317]	[ 4.22826574]	21	0.0	0.0
33	1	3	0.0	0.0	[ 0.20616201]	[ 1.74397864]	3	0.0	0.0
34	1	0	0.0	0.0	[ 0.32240557]	[ 2.83289771]	0	0.0	0.0
35	1	7	0.0	0.0	[ 0.61271828]	[ 1.47459923]	7	0.0	0.0
36	1	16	0.0	0.0	[ 0.20119898]	[ 2.15928984]	16	0.0	0.0
37	1	19	0.0	0.0	[ 0.30294486]	[ 3.32759538]	19	0.0	0.0
38	1	2	0.0	0.0	[ 0.2249136]	[ 2.39215652]	2	0.0	0.0
39	1	4	0.0	0.0	[ 0.25901924]	[ 1.02976407]	4	0.0	0.0
40	1	18	0.0	0.0	[ 0.36448219]	[ 4.645636]	18	0.0	0.0
41	1	7	0.0	0.0	[ 0.28829697]	[ 3.93774791]	7	0.0	0.0
42	1	20	0.0	0.0	[ 0.3941576]	[ 2.76852204]	20	0.0	0.0
43	1	4	0.0	0.0	[ 0.2580741]	[ 1.55571065]	4	0.0	0.0
44	1	22	0.0	0.0	[ 0.29285436]	[ 1.32760832]	22	0.0	0.0
45	1	2	0.0	0.0	[ 0.34696124]	[ 2.49621213]	2	0.0	0.0
46	1	11	0.0	0.0	[ 0.20676614]	[ 0.90328346]	11	0.0	0.0
47	1	23	0.0	0.0	[ 0.23640515]	[ 2.86230061]	23	0.0	0.0
48	1	6	0.0	0.0	[ 0.55588372]	[ 3.71147796]	6	0.0	0.0
49	1	12	0.0	0.0	[ 0.44816562]	[ 3.5103381]	12	0.0	0.0
50	1	1	0.0	0.0	[ 0.27791164]	[ 2.4281761]	1	0.0	0.0
51	1	12	0.0	0.0	[ 0.51168886]	[ 5.74560468]	12	0.0	0.0
52	1	16	0.0	0.0	[ 0.19185656]	[ 1.52061115]	16	0.0	0.0
53	1	5	0.0	0.0	[ 0.49043391]	[ 4.1728153]	5	0.0	0.0
54	1	21	0.0	0.0	[ 0.29800686]	[ 2.20010673]	21	0.0	0.0
55	1	14	0.0	0.0	[ 0.36532299]	[ 1.84679451]	14	0.0	0.0
56	1	9	0.0	0.0	[ 0.24539913]	[ 3.35154843]	9	0.0	0.0
57	1	0	0.0	0.0	[ 0.52267008]	[ 2.33939434]	0	0.0	0.0
58	1	19	0.0	0.0	[ 0.24818982]	[ 0.80463229]	19	0.0	0.0
59	1	14	0.0	0.0	[ 0.29352434]	[ 4.12176657]	14	0.0	0.0
60	1	14	0.0	0.0	[ 0.22906993]	[ 2.57894581]	14	0.0	0.0
61	1	9	0.0	0.0	[ 0.27090041]	[ 2.48694309]	9	0.0	0.0
62	1	20	0.0	0.0	[ 0.25519829]	[ 2.01289884]	20	0.0	0.0
63	1	9	0.0	0.0	[ 0.32393064]	[ 2.23191877]	9	0.0	0.0
64	1	16	0.0	0.0	[ 0.55007984]	[ 3.10192736]	16	0.0	0.0
65	1	19	0.0	0.0	[ 0.2027363]	[ 0.81216726]	19	0.0	0.0
66	1	7	0.0	0.0	[ 0.37721447]	[ 1.75780608]	7	0.0	0.0
67	1	24	0.0	0.0	[ 0.21602476]	[ 2.45675997]	24	0.0	0.0
68	1	17	0.0	0.0	[ 0.26423027]	[ 2.33479444]	17	0.0	0.0
69	1	19	0.0	0.0	[ 0.41542644]	[ 1.8342684]	19	0.0	0.0
70	1	7	0.0	0.0	[ 0.36896414]	[ 2.30585075]	7	0.0	0.0
71	1	13	0.0	0.0	[ 0.34489116]	[ 2.41508652]	13	0.0	0.0
