	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang		meas_diff	meas_diff_restore	index	injection	restore_injection
48	1	FALSE	1	0.01311261	3.96E-09	-6.986535457	6.986535457	0.04368986	0.39177697	1	-0.009999812	-0.199941251
49	1	FALSE	2	0.01524129	1.75E-08	-5.970551709	5.970551709	0.03510478	0.36887436	2	-0.009999514	-0.249987847
50	1	FALSE	2	0.01488863	1.72E-08	5.755294496	5.755294496	0.00820726	0.13314222	2	0.009999836	0.249995893
51	1	FALSE	2	0.01394518	1.49E-08	-5.519923067	5.519923067	0.01421443	0.19465831	2	-0.009999682	-0.249992053
52	1	FALSE	2	0.01408277	1.54E-08	-5.539885754	5.539885754	0.02530793	0.36227624	2	-0.009999828	-0.249995701
53	1	FALSE	2	0.01360965	1.40E-08	-5.44484875	5.44484875	0.03775809	0.56106245	2	-0.009999709	-0.249992713
54	1	FALSE	1	0.01333482	4.34E-09	-6.944909508	6.944909508	0.0223549	0.2658934	1	-0.009999275	-0.199930502
55	1	FALSE	2	0.01456388	1.65E-08	5.664012472	5.664012472	0.02752723	0.4093322	2	0.009999902	0.249997561
56	1	FALSE	1	0.01347391	4.45E-09	-7.002979054	7.002979054	0.03998197	0.37739647	1	-0.009999928	-0.199943553
57	1	FALSE	2	0.01493782	1.65E-08	5.943774823	5.943774823	0.02753096	0.3071642	2	0.009998955	0.249973884
58	1	FALSE	2	0.01418892	1.54E-08	-5.578943988	5.578943988	0.04210219	0.55414166	2	-0.009999159	-0.249978984
59	1	FALSE	2	0.01312651	1.32E-08	-5.275328542	5.275328542	0.04363999	0.50529264	2	-0.009999999	-0.249999987
60	1	FALSE	2	0.01391038	1.50E-08	-5.489546134	5.489546134	0.02642154	0.37288165	2	-0.009999715	-0.24999288
61	1	FALSE	2	0.01420164	1.54E-08	-5.616575884	5.616575884	0.03845079	0.55541082	2	-0.009999688	-0.249992201
62	1	FALSE	1	0.0131979	4.12E-09	6.983513786	6.983513786	0.03515182	0.35495208	1	0.00999855	0.199916002
63	1	FALSE	1	0.01339339	4.33E-09	-6.977947329	6.977947329	0.03449742	0.40050707	1	-0.009999977	-0.19994453
64	1	FALSE	2	0.01435315	1.59E-08	-5.635770355	5.635770355	0.03176941	0.3697189	2	-0.009999068	-0.24997669
65	1	FALSE	2	0.01337404	1.38E-08	-5.329004596	5.329004596	0.0195835	0.28574765	2	-0.009996239	-0.249905975
66	1	FALSE	1	0.01311913	4.03E-09	6.952455995	6.952455995	0.02015774	0.30188303	1	0.0099999	0.199942998
67	1	FALSE	1	0.01315776	3.97E-09	7.018512613	7.018512613	0.03445441	0.57973444	1	0.009999639	0.199937779
68	1	FALSE	2	0.01346017	1.40E-08	-5.360935642	5.360935642	0.02822316	0.289141	2	-0.009999715	-0.249992879
69	1	FALSE	2	0.01371239	1.40E-08	5.516593761	5.516593761	0.04185469	0.44752952	2	0.009999793	0.249994837
70	1	FALSE	2	0.01432648	1.60E-08	-5.595473999	5.595473999	0.0194049	0.19601767	2	-0.009998737	-0.249968414
71	1	FALSE	1	0.0134034	4.26E-09	-7.075027295	7.075027295	0.0291348	0.5826345	1	-0.009999989	-0.199944789
72	1	FALSE	2	0.01376479	1.46E-08	-5.458212594	5.458212594	0.03346683	0.37271843	2	-0.009999808	-0.249995199
73	1	FALSE	1	0.01330099	4.12E-09	7.053871346	7.053871346	0.04760104	0.50690322	1	0.009999928	0.199943558
74	1	FALSE	2	0.01412273	1.45E-08	-5.7075054	5.7075054	0.03517678	0.32136072	2	-0.009999727	-0.249993186
75	1	FALSE	2	0.01388664	1.45E-08	-5.547392093	5.547392093	0.02779396	0.49097334	2	-0.009999955	-0.249998875
76	1	FALSE	1	0.0132066	4.06E-09	7.007887928	7.007887928	0.05884085	0.45814613	1	0.009998368	0.19991237
77	1	FALSE	2	0.01363218	1.42E-08	-5.428189284	5.428189284	0.03287465	0.32540933	2	-0.009999574	-0.249989353
78	1	FALSE	2	0.01410773	1.55E-08	-5.532287021	5.532287021	0.03304476	0.35743999	2	-0.009999368	-0.249984202
79	1	FALSE	2	0.01444704	1.65E-08	-5.580075844	5.580075844	0.02249275	0.28369417	2	-0.009999506	-0.249987645
80	1	FALSE	2	0.01480825	1.71E-08	-5.736085037	5.736085037	0.03316784	0.31632956	2	-0.009999965	-0.249999122
81	1	FALSE	2	0.0154093	1.76E-08	-6.068529445	6.068529445	0.04955544	0.75693013	2	-0.009999817	-0.249995424
82	1	FALSE	2	0.01412916	1.54E-08	-5.571990794	5.571990794	0.03105303	0.42124014	2	-0.009999531	-0.249988279
