	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection	estimated - real
63	1	False	2	[ 0.00809964]	[ 0.00013268]	3.216696331001005	[ 0.02125795]	[ 0.62792486]	2	-0.0059995691249811155	-0.1499892281245279	[[ 0.23185894  0.03480489  0.00356453  0.23511425  0.05419461  0.00916569]]
64	1	False	2	[ 0.00836256]	[ 0.00013839]	3.2367426243910704	[ 0.02721532]	[ 0.94498516]	2	0.005999530215254644	0.14998825538136612	[[ 0.86530158  0.71230392  1.38747766  0.86694047  0.7063329   1.38235329]]
65	1	False	2	[ 0.0084729]	[ 0.00013809]	3.404544460565101	[ 0.01123396]	[ 0.39215231]	2	-0.00599977596448059	-0.14999439911201473	[[ 0.23330084  1.21086181  1.12324104  0.23612541  1.20297708  1.11452533]]
66	1	False	2	[ 0.00805174]	[ 0.00013104]	3.2187368184463527	[ 0.02315334]	[ 0.68981951]	2	-0.005999641640870391	-0.14999104102175975	[[ 0.50122292  0.77494385  0.14152034  0.49948923  0.78432772  0.14250909]]
67	1	False	2	[ 0.00854181]	[ 0.00013941]	3.4300942420155103	[ 0.0372919]	[ 1.15052118]	2	-0.00599967448408395	-0.14999186210209875	[[ 0.55392539  1.06097437  0.69800439  0.54244845  1.04083934  0.69969607]]
68	1	False	2	[ 0.00856288]	[ 0.00014154]	3.386041569795366	[ 0.02512865]	[ 0.91252856]	2	0.005999910450940968	0.1499977612735242	[[ 0.15957705  0.92505496  1.17762663  0.15454085  0.91408096  1.17134981]]
69	1	False	1	[ 0.00842302]	[  7.08711475e-05]	4.320214136592246	[ 0.02871935]	[ 0.66713127]	1	-0.005999725485315957	-0.11996151121614987	[[ 0.58792941  1.08837416  0.36141397  0.59218777  1.11464426  0.36611393]]
70	1	False	2	[ 0.00827326]	[ 0.0001353]	3.240923145346324	[ 0.04322814]	[ 1.53679249]	2	0.00599994085329564	0.149998521332391	[[ 1.09907983  1.14287361  1.53258071  1.12663635  1.16507834  1.53113811]]
71	1	False	2	[ 0.00856528]	[ 0.00014118]	3.381548768901239	[ 0.02480124]	[ 0.78839995]	2	0.005999837199857492	0.1499959299964373	[[ 0.7338583   0.64294635  0.62178941  0.72252839  0.6437782   0.62634148]]
72	1	False	2	[ 0.00857997]	[ 0.00014378]	3.313796096381692	[ 0.01910191]	[ 0.6634706]	2	0.005999999909478326	0.14999999773695816	[[ 0.18285414  0.33423402  1.19061978  0.18079643  0.32369062  1.18583459]]
73	1	False	2	[ 0.00841456]	[ 0.0001376]	3.356978192565695	[ 0.02748975]	[ 0.89375817]	2	-0.00599994877872528	-0.149998719468132	[[ 0.50378922  0.79154589  0.46518191  0.49430397  0.78440153  0.46665977]]
74	1	False	1	[ 0.00859539]	[  7.11936843e-05]	4.402363186590509	[ 0.0235003]	[ 0.51077181]	1	-0.00599985359988664	-0.11996407280293339	[[ 1.27145028  1.02383664  0.30877047  1.28564383  1.01704983  0.30733309]]
75	1	False	2	[ 0.00850172]	[ 0.00014133]	3.2948442541838414	[ 0.02389843]	[ 0.5076831]	2	0.005999873658563109	0.1499968414640777	[[ 0.17278476  0.25580047  0.73453341  0.17676888  0.28239316  0.72987222]]
76	1	False	2	[ 0.00788691]	[ 0.00012667]	3.2019914741941538	[ 0.01707768]	[ 0.5190359]	2	-0.005999931008398168	-0.14999827520995418	[[ 0.77586218  0.91428447  0.22122857  0.77899968  0.91455065  0.21946139]]
77	1	False	2	[ 0.00856142]	[ 0.00014296]	3.3173469335399846	[ 0.01711193]	[ 0.57449577]	2	0.00599995433929921	0.14999885848248026	[[ 0.15310271  0.30892946  1.03098977  0.14996111  0.29438673  1.02586558]]
78	1	False	2	[ 0.00830812]	[ 0.00013558]	3.278431002767239	[ 0.02806451]	[ 0.96111351]	2	-0.005999836815297743	-0.14999592038244358	[[ 0.9100622   1.21722673  1.43281536  0.92433142  1.23434093  1.42855165]]
79	1	False	2	[ 0.00826249]	[ 0.00013665]	3.218687221729395	[ 0.02477795]	[ 0.70553649]	2	0.00599989941533536	0.149997485383384	[[ 0.78884383  1.11418382  1.75453666  0.80848657  1.10088371  1.75230318]]
80	1	False	1	[ 0.00859676]	[  7.16165006e-05]	4.463827378882045	[ 0.0317776]	[ 0.90416118]	1	-0.005999936605857125	-0.11996573246581026	[[ 0.3020005   0.6381296   0.87741721  0.3023816   0.64982398  0.8772177 ]]
81	1	False	1	[ 0.00870244]	[  6.98165649e-05]	4.461019787312469	[ 0.0448492]	[ 1.41226942]	1	-0.005999814898277655	-0.11996329898361255	[[ 1.39553966  0.9841962   0.84251327  1.40547744  0.99397207  0.82642738]]
82	1	False	2	[ 0.00834962]	[ 0.00013774]	3.246000056023447	[ 0.02810274]	[ 0.94557628]	2	-0.005999934141108391	-0.14999835352770977	[[ 0.80990717  0.78394634  1.29452224  0.80803894  0.77916763  1.28876742]]
83	1	False	2	[ 0.00763538]	[ 0.00012384]	3.0303248244252416	[ 0.07003565]	[ 1.97571798]	2	-0.005999982121493213	-0.14999955303733034	[[ 0.8037182   1.07256306  0.03719357  0.81669788  1.08634802  0.03761531]]
84	1	False	2	[ 0.00852722]	[ 0.00014145]	3.3360674385491196	[ 0.01746541]	[ 0.61577307]	2	-0.005999941467469712	-0.14999853668674282	[[ 0.1251323   0.516933    0.92343818  0.12188285  0.5000183   0.91797426]]
85	1	False	2	[ 0.00870935]	[ 0.00014601]	3.3702104492798974	[ 0.02195438]	[ 0.62284189]	2	-0.0059999718206059675	-0.14999929551514918	[[ 0.75231486  0.26655224  0.98232377  0.7413715   0.27735679  0.98183901]]
86	1	False	2	[ 0.00871217]	[ 0.00014613]	3.35384428761563	[ 0.02077744]	[ 0.62351194]	2	0.005999946001555289	0.14999865003888221	[[ 0.15706448  0.55659365  0.90480601  0.15323806  0.57897671  0.89586177]]
87	1	False	2	[ 0.00858164]	[ 0.00014338]	3.387168310367091	[ 0.02126832]	[ 0.69214099]	2	0.005999950438132547	0.1499987609533137	[[ 0.76144128  1.12413809  1.69122091  0.76264497  1.11406059  1.68778705]]
88	1	False	2	[ 0.00833185]	[ 0.00013752]	3.278859981591912	[ 0.00710894]	[ 0.1622353]	2	-0.005999946769927284	-0.14999866924818211	[[ 0.20581951  0.36343947  0.15675342  0.20971175  0.36367402  0.14587747]]
89	1	False	2	[ 0.00861925]	[ 0.00014375]	3.3490034151775445	[ 0.01392236]	[ 0.48938788]	2	-0.005999866616525743	-0.14999666541314358	[[ 0.37622766  0.56720099  0.489374    0.3787958   0.58236924  0.47465086]]
90	1	False	2	[ 0.0086622]	[ 0.00014639]	3.3193249144836883	[ 0.02521214]	[ 0.90003434]	2	0.00599983111493893	0.14999577787347323	[[ 0.28624357  0.08904038  1.44694591  0.28310965  0.08846252  1.44393949]]
91	1	False	1	[ 0.00835047]	[  6.92137206e-05]	4.393463053677901	[ 0.04004529]	[ 1.27340947]	1	-0.005999564251227676	-0.11995828742117173	[[ 1.24129765  0.11804616  0.86377808  1.25291566  0.14860779  0.85932024]]
92	1	False	2	[ 0.00810389]	[ 0.00013006]	3.265922298590837	[ 0.02666474]	[ 0.68028641]	2	-0.005999854289526941	-0.14999635723817353	[[ 1.08228529  1.06518514  0.65283799  1.09078289  1.09923269  0.65207748]]
93	1	False	1	[ 0.00841404]	[  7.23404270e-05]	4.353820532296944	[ 0.02054848]	[ 0.47424268]	1	-0.005999498803622161	-0.11995697882902326	[[ 1.40735799  0.69078432  0.2916784   1.42367398  0.67202553  0.29138828]]
94	1	False	2	[ 0.00767129]	[ 0.00012441]	3.054647172671033	[ 0.05537688]	[ 1.81862311]	2	-0.005999994857955859	-0.14999987144889648	[[ 0.71652208  1.33712644  0.1278732   0.72698251  1.32866288  0.12542374]]
95	1	False	2	[ 0.00848002]	[ 0.00014077]	3.30920987594598	[ 0.01921265]	[ 0.67271409]	2	0.005999879607274549	0.14999699018186372	[[ 0.11186115  0.66082859  1.14378779  0.11033327  0.6438876   1.13744996]]
96	1	False	2	[ 0.00874988]	[ 0.0001488]	3.3464443366189975	[ 0.02718965]	[ 0.98840891]	2	0.005999956554922788	0.1499989138730697	[[ 0.76486363  0.10353493  1.59033229  0.75665454  0.1315409   1.58968167]]
97	1	False	2	[ 0.0080644]	[ 0.00013114]	3.2184946594271526	[ 0.03379803]	[ 1.00440919]	2	-0.005999878777853032	-0.1499969694463258	[[ 0.68035592  0.92222292  0.20694542  0.68015538  0.9269312   0.21028763]]
98	1	False	1	[ 0.0084882]	[  7.20959532e-05]	4.392703645815911	[ 0.02773128]	[ 0.87790133]	1	-0.005999991507198499	-0.11996683019068036	[[ 0.89154263  0.70033421  0.2071613   0.88889506  0.72276539  0.20329504]]
99	1	False	2	[ 0.00873398]	[ 0.00014816]	3.3407621193307793	[ 0.03022397]	[ 1.13602681]	2	0.005999997192027636	0.1499999298006909	[[ 0.43230645  0.05785898  1.55773564  0.42615789  0.0484294   1.55539936]]
