	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
67	1	[False]	1	[ 0.01315842]	3.966209534230657e-09	7.01953678984734	[ 0.04339708]	[ 0.49260201]	1	0.009999925384099603	0.19994350809237946
68	1	[False]	2	[ 0.0134288]	1.391231284574116e-08	-5.353628295908012	[ 0.03318128]	[ 0.2591744]	2	-0.00999970014800411	-0.24999250370010273
69	1	[False]	2	[ 0.01375266]	1.4089615493371687e-08	-5.526775913943007	[ 0.03248627]	[ 0.45082371]	2	-0.009999972724642725	-0.24999931811606813
70	1	[False]	2	[ 0.01432041]	1.5998072562888124e-08	-5.594871693042872	[ 0.0203623]	[ 0.16355631]	2	-0.009999497732082209	-0.24998744330205522
71	1	[False]	1	[ 0.01337254]	4.23996547463532e-09	-7.058106867564542	[ 0.03700434]	[ 0.47313486]	1	-0.009999299264449415	-0.19993098914303378
72	1	[False]	2	[ 0.01379496]	1.4658291554653362e-08	-5.4653553904370265	[ 0.02524234]	[ 0.34655304]	2	-0.009999279470587666	-0.24998198676469163
73	1	[False]	1	[ 0.01331038]	4.137520952260218e-09	7.0563887534571315	[ 0.03320303]	[ 0.43141769]	1	0.009999995994734168	0.19994491991671226
74	1	[False]	2	[ 0.01413906]	1.4587315160750649e-08	5.711451879431653	[ 0.05105321]	[ 0.40796741]	2	0.009999953256884044	0.2499988314221011
75	1	[False]	2	[ 0.01388882]	1.4480237571236234e-08	5.553664441109878	[ 0.04315286]	[ 0.46353059]	2	0.009999695560478337	0.24999238901195842
76	1	[False]	1	[ 0.01320219]	4.057255541813933e-09	7.0053920443665945	[ 0.05046598]	[ 0.39177197]	1	0.009999554786360488	0.19993609817588473
77	1	[False]	2	[ 0.013639]	1.4248321192369258e-08	-5.432639659908707	[ 0.03211561]	[ 0.38018743]	2	-0.009999707824485489	-0.24999269561213722
78	1	[False]	2	[ 0.01409663]	1.5490531011113587e-08	-5.530965950142328	[ 0.01954508]	[ 0.26756294]	2	-0.009999946806753956	-0.2499986701688489
79	1	[False]	2	[ 0.01444058]	1.6526255779319437e-08	-5.576219654106509	[ 0.02557584]	[ 0.29357543]	2	-0.009999930793027953	-0.24999826982569884
80	1	[False]	2	[ 0.01482667]	1.7092912605280507e-08	-5.750111903092171	[ 0.0390726]	[ 0.33255452]	2	-0.009999715673924155	-0.2499928918481039
81	1	[False]	2	[ 0.01543245]	1.761453363097264e-08	6.081303031708581	[ 0.05334313]	[ 0.7373951]	2	0.009999849699856303	0.24999624249640756
82	1	[False]	2	[ 0.01414059]	1.5424425190355348e-08	-5.572851892665606	[ 0.02925788]	[ 0.3785688]	2	-0.009999957326527842	-0.24999893316319605
83	1	[False]	1	[ 0.01248815]	3.7221938560153942e-09	6.628082778248595	[ 0.02781193]	[ 0.23908288]	1	0.00999953558378715	0.19993571423003212
84	1	[False]	2	[ 0.01341529]	1.3756624818598638e-08	-5.371128469766811	[ 0.01951626]	[ 0.25610831]	2	-0.009999969126692244	-0.2499992281673061
85	1	[False]	1	[ 0.01343886]	4.5012654799247884e-09	-6.98509169192868	[ 0.02292298]	[ 0.36767019]	1	-0.009999930838422327	-0.19994361714883516
86	1	[False]	2	[ 0.0140369]	1.4948008399759792e-08	-5.565344532750539	[ 0.04801669]	[ 0.62949838]	2	-0.009999910324105942	-0.24999775810264857
87	1	[False]	2	[ 0.01375512]	1.4742535709762357e-08	-5.431147047406345	[ 0.06163829]	[ 0.5400021]	2	-0.009999603351372276	-0.2499900837843069
88	1	[False]	1	[ 0.0135024]	4.5417046943061366e-09	6.937730734211158	[ 0.03796618]	[ 0.62465584]	1	0.009999724422331982	0.19993948996231675
89	1	[False]	1	[ 0.01345305]	4.594447863930552e-09	6.85663835750607	[ 0.05340589]	[ 0.65143023]	1	0.009999104370521688	0.19992709233639583
90	1	[False]	2	[ 0.01428107]	1.574096751331417e-08	-5.6094920970160995	[ 0.03338173]	[ 0.45625838]	2	-0.009999892797958746	-0.24999731994896865
91	1	[False]	2	[ 0.01477643]	1.701779490925053e-08	5.72634472329271	[ 0.02646058]	[ 0.16710595]	2	0.009999639616843919	0.24999099042109799
92	1	[False]	1	[ 0.01315973]	4.117225450187719e-09	6.977902528561012	[ 0.02204768]	[ 0.19846939]	1	0.009999735029558945	0.19993970204851627
93	1	[False]	2	[ 0.01390795]	1.4178897098031624e-08	-5.624967580745268	[ 0.02435768]	[ 0.2194876]	2	-0.009999956684319062	-0.24999891710797656
94	1	[False]	1	[ 0.01221925]	3.496688844083196e-09	-6.518406002327412	[ 0.04853601]	[ 0.39314193]	1	-0.009999819561448148	-0.19994139222137494
95	1	[False]	2	[ 0.01366597]	1.4392582594681769e-08	-5.4249968298168465	[ 0.01824477]	[ 0.19438341]	2	-0.009999216317894764	-0.24998040794736912
96	1	[False]	2	[ 0.01410035]	1.5300663478564352e-08	-5.553905334708554	[ 0.05734395]	[ 0.54032215]	2	-0.009999784215062155	-0.24999460537655388
97	1	[False]	1	[ 0.01297167]	3.924437817681583e-09	-6.892261104263329	[ 0.04700496]	[ 0.43407173]	1	-0.009999925834935539	-0.1999435171066186
98	1	[False]	2	[ 0.0144032]	1.5710979780330334e-08	-5.709407724847569	[ 0.03094457]	[ 0.25677136]	2	-0.009999586940216946	-0.24998967350542364
99	1	[False]	2	[ 0.01444807]	1.6090517438572673e-08	-5.662266077469363	[ 0.03793228]	[ 0.49325901]	2	-0.009999788266399667	-0.24999470665999168
