	pixel_count	i	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	3	0.0	0.0	[ 0.25702229]	[ 0.49824182]	3	0.0	0.0
1	1	2	0.0	0.0	[ 0.44632678]	[ 0.63107747]	2	0.0	0.0
2	1	13	0.0	0.0	[ 0.31576151]	[ 0.82434375]	13	0.0	0.0
3	1	9	0.0	0.0	[ 0.3756186]	[ 0.62530658]	9	0.0	0.0
4	1	28	0.0	0.0	[ 0.50357504]	[ 0.74063858]	28	0.0	0.0
5	1	16	0.0	0.0	[ 0.34362959]	[ 0.8268114]	16	0.0	0.0
6	1	2	0.0	0.0	[ 0.33701539]	[ 0.5621343]	2	0.0	0.0
7	1	35	0.0	0.0	[ 0.33483518]	[ 0.6783435]	35	0.0	0.0
8	1	20	0.0	0.0	[ 0.57229627]	[ 0.86897854]	20	0.0	0.0
9	1	9	0.0	0.0	[ 0.57067654]	[ 0.92912399]	9	0.0	0.0
10	1	39	0.0	0.0	[ 0.53232873]	[ 1.06513141]	39	0.0	0.0
11	1	37	0.0	0.0	[ 0.52034974]	[ 0.89473672]	37	0.0	0.0
12	1	33	0.0	0.0	[ 0.37825483]	[ 0.5843144]	33	0.0	0.0
13	1	25	0.0	0.0	[ 0.29700022]	[ 0.6296963]	25	0.0	0.0
14	1	27	0.0	0.0	[ 0.95638175]	[ 0.84002895]	27	0.0	0.0
15	1	31	0.0	0.0	[ 0.46521064]	[ 0.65653474]	31	0.0	0.0
16	1	30	0.0	0.0	[ 0.33214922]	[ 0.53982936]	30	0.0	0.0
17	1	39	0.0	0.0	[ 0.60583939]	[ 0.89312632]	39	0.0	0.0
18	1	17	0.0	0.0	[ 0.60477521]	[ 1.14156028]	17	0.0	0.0
19	1	28	0.0	0.0	[ 0.59650153]	[ 0.90611545]	28	0.0	0.0
20	1	23	0.0	0.0	[ 0.43399678]	[ 0.53865674]	23	0.0	0.0
21	1	13	0.0	0.0	[ 0.51729903]	[ 0.95707594]	13	0.0	0.0
22	1	0	0.0	0.0	[ 0.58521475]	[ 0.85411544]	0	0.0	0.0
23	1	39	0.0	0.0	[ 0.36616019]	[ 0.94909297]	39	0.0	0.0
24	1	23	0.0	0.0	[ 0.4467094]	[ 0.54906996]	23	0.0	0.0
25	1	41	0.0	0.0	[ 0.33413882]	[ 0.65638233]	41	0.0	0.0
26	1	9	0.0	0.0	[ 0.42937656]	[ 0.5196828]	9	0.0	0.0
27	1	43	0.0	0.0	[ 0.35455685]	[ 0.68044703]	43	0.0	0.0
28	1	44	0.0	0.0	[ 0.57896382]	[ 0.93625596]	44	0.0	0.0
29	1	40	0.0	0.0	[ 0.59913468]	[ 0.77312891]	40	0.0	0.0
30	1	20	0.0	0.0	[ 0.38291487]	[ 0.58651235]	20	0.0	0.0
31	1	28	0.0	0.0	[ 0.58231228]	[ 0.69704754]	28	0.0	0.0
32	1	27	0.0	0.0	[ 0.44740317]	[ 0.89816764]	27	0.0	0.0
33	1	9	0.0	0.0	[ 0.22938876]	[ 0.54216041]	9	0.0	0.0
34	1	5	0.0	0.0	[ 0.47169825]	[ 0.87413006]	5	0.0	0.0
35	1	21	0.0	0.0	[ 0.80045328]	[ 1.36107742]	21	0.0	0.0
36	1	28	0.0	0.0	[ 0.48542872]	[ 1.12590999]	28	0.0	0.0
37	1	16	0.0	0.0	[ 0.35506355]	[ 0.46754441]	16	0.0	0.0
38	1	0	0.0	0.0	[ 0.37958229]	[ 0.76476319]	0	0.0	0.0
39	1	12	0.0	0.0	[ 0.57176636]	[ 0.9749826]	12	0.0	0.0
40	1	23	0.0	0.0	[ 0.60362899]	[ 0.78606614]	23	0.0	0.0
41	1	7	0.0	0.0	[ 0.34814378]	[ 0.66951822]	7	0.0	0.0
42	1	34	0.0	0.0	[ 0.46778204]	[ 0.6242246]	34	0.0	0.0
43	1	26	0.0	0.0	[ 0.58127742]	[ 0.75724579]	26	0.0	0.0
44	1	19	0.0	0.0	[ 0.58013912]	[ 0.62087755]	19	0.0	0.0
45	1	38	0.0	0.0	[ 0.57282391]	[ 0.83504787]	38	0.0	0.0
46	1	8	0.0	0.0	[ 0.44811303]	[ 0.54522532]	8	0.0	0.0
47	1	20	0.0	0.0	[ 0.35539304]	[ 0.51623669]	20	0.0	0.0
48	1	34	0.0	0.0	[ 0.37916498]	[ 0.53699242]	34	0.0	0.0
