	pixel_count	success	i	state_diff	state_diff_restore_mag	state_diff_restore_ang	meas_diff	meas_diff_restore	index	injection	restore_injection
0	1	[False]	2	[ 0.01457579]	1.6274764864479317e-08	-5.729182885947116	[ 0.03255756]	[ 0.31312678]	2	-0.009999882419783787	-0.2499970604945947
1	1	[False]	1	[ 0.01323475]	4.159398724441742e-09	7.001620442532446	[ 0.03324707]	[ 0.29489816]	1	0.009999740481522211	0.1999398110577958
2	1	[False]	1	[ 0.01340741]	4.352989369334045e-09	6.972560104846293	[ 0.03284853]	[ 0.58658185]	1	0.009999949673357345	0.1999439937439434
3	1	[False]	2	[ 0.01428284]	1.606508641501086e-08	-5.554980914095012	[ 0.03433502]	[ 0.39333071]	2	-0.009999965366361992	-0.2499991341590498
4	1	[False]	1	[ 0.01306215]	3.901299048975247e-09	6.975347725525205	[ 0.03497215]	[ 0.58073333]	1	0.009999789010574028	0.19994078137192237
5	1	[False]	2	[ 0.01433614]	1.591021485142352e-08	-5.616282606676887	[ 0.04279521]	[ 0.52230962]	2	-0.009999844462170535	-0.24999611155426338
6	1	[False]	2	[ 0.01508601]	1.6894040326841902e-08	5.914792451574135	[ 0.04678782]	[ 0.75985742]	2	0.009999939935306918	0.24999849838267296
7	1	[False]	1	[ 0.01341736]	4.328695231951444e-09	7.028594972036397	[ 0.04094998]	[ 0.46484339]	1	0.009999758927004864	0.1999401798659987
8	1	[False]	2	[ 0.0150457]	1.675773888880707e-08	-5.9728934262732425	[ 0.03940095]	[ 0.47432102]	2	-0.009999682227373154	-0.24999205568432886
9	1	[False]	1	[ 0.01311385]	4.011304989825438e-09	-6.932208696448201	[ 0.03494772]	[ 0.32151157]	1	-0.00999968273911447	-0.19993865652722423
10	1	[False]	2	[ 0.01556565]	1.7851839749962192e-08	-6.1418104174659565	[ 0.06059277]	[ 0.77969294]	2	-0.009999982719180006	-0.24999956797950015
11	1	[False]	2	[ 0.01361967]	1.3391435104585615e-08	-5.544899657688067	[ 0.05363163]	[ 0.60706962]	2	-0.009999953240575761	-0.24999883101439405
12	1	[False]	1	[ 0.0135196]	4.587859791073947e-09	-6.995302732752365	[ 0.02303549]	[ 0.37608912]	1	-0.0099999479202905	-0.19994395869224837
13	1	[False]	2	[ 0.01548939]	1.7568081530920352e-08	-6.139515726061752	[ 0.04842147]	[ 0.59646579]	2	-0.009999864150208615	-0.24999660375521537
14	1	[False]	2	[ 0.01380921]	1.419152366790906e-08	-5.554946738324932	[ 0.02251628]	[ 0.2468043]	2	-0.009999456653379717	-0.24998641633449292
15	1	[False]	2	[ 0.01517466]	1.720564076705494e-08	5.969558078331953	[ 0.04274238]	[ 0.73813105]	2	0.00999995435661915	0.24999885891547874
16	1	[False]	2	[ 0.01500588]	1.7386602846081432e-08	5.8125287811725155	[ 0.06357232]	[ 0.44340904]	2	0.009999346863867315	0.2499836715966829
17	1	[False]	2	[ 0.01374321]	1.3486594626032678e-08	5.617349064941692	[ 0.03449508]	[ 0.40875386]	2	0.009999992390941341	0.24999980977353353
18	1	[False]	1	[ 0.01331825]	4.259269084690543e-09	-6.948005794612988	[ 0.03701177]	[ 0.41583531]	1	-0.009999856506630773	-0.19994213092182894
19	1	[False]	1	[ 0.01331093]	4.26860388185227e-09	6.936001069960208	[ 0.02304864]	[ 0.39917785]	1	0.00999998334359981	0.19994466696360635
20	1	[False]	2	[ 0.01370196]	1.4662283691808085e-08	5.410236940710889	[ 0.01742998]	[ 0.32319622]	2	0.009998303793105734	0.24995759482764335
21	1	[False]	1	[ 0.01315155]	3.98716157406898e-09	-7.006793774180584	[ 0.02563946]	[ 0.26673672]	1	-0.009999917489238234	-0.19994335023857382
22	1	[False]	2	[ 0.01419017]	1.4631892364192432e-08	-5.732633049808915	[ 0.02423358]	[ 0.31038002]	2	-0.009999987975003444	-0.24999969937508612
23	1	[False]	2	[ 0.01486116]	1.722370403379551e-08	5.755274738483234	[ 0.02969365]	[ 0.22425082]	2	0.009999959879153242	0.24999899697883107
24	1	[False]	1	[ 0.01325845]	4.1201958652744345e-09	7.036043864162683	[ 0.03208247]	[ 0.36419317]	1	0.009999759657129806	0.19994019446448186
25	1	[False]	2	[ 0.01342666]	1.3789441946932807e-08	-5.371991838801052	[ 0.01916204]	[ 0.18299632]	2	-0.009998934396279836	-0.2499733599069959
